Seq#,DateTime,TEST,PRODUCT,AC VOLTAGE,AC CURRENT,AC WATT,P.F.,V.THD. %,I.THD. %,DC VOLTAGE,DC CURRENT,DC POWER,EFFICIENCY,PCB TEMP,JUNC TEMP,HOUSING TEMP,X'MER TEMP,ROOM TEMP,TAP,RECIPE
1,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,30.9,31,31.2,31,30.4,0,1
2,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,30.9,31,31.2,31,30.4,0,1
3,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,30.9,31,31.2,31,30.4,0,1
4,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,31,31,31.2,31,30.4,0,1
5,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,31,31,31.2,31,30.4,0,1
6,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,31,31,31.2,31,30.4,0,1
7,4/12/2021 10:17,0,0,0,0,0, nan, nan, nan,0.2,0,0,0,31,31,31.2,31,30.4,0,1
8,4/12/2021 10:18,0,0,0,13.168,0, nan, nan, nan,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
9,4/12/2021 10:18,0,0,0,13.168,1.409, nan, nan, nan,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
10,4/12/2021 10:18,0,0,0,13.168,1.409,0.895,1.18,1,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
11,4/12/2021 10:18,0,0,59.42,27.208,1.45,0.897,2.29,47,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
12,4/12/2021 10:18,0,0,59.42,27.208,1.45,0.897,2.29,47,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
13,4/12/2021 10:18,0,0,59.49,27.266,1.454,0.897,2.8,49,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
14,4/12/2021 10:18,0,0,59.49,27.266,1.454,0.897,2.8,49,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
15,4/12/2021 10:18,0,0,59.49,27.266,1.454,0.897,2.8,49,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
16,4/12/2021 10:18,0,0,59.38,27.15,1.444,0.897,2.8,49,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
17,4/12/2021 10:18,0,0,59.38,27.15,1.323,0.864,2.65,54,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
18,4/12/2021 10:18,0,0,59.41,25.78,1.323,0.864,2.69,54,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
19,4/12/2021 10:18,0,0,59.41,25.78,1.323,0.864,2.69,54,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
20,4/12/2021 10:18,0,0,59.41,25.78,1.323,0.864,2.69,54,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
21,4/12/2021 10:18,0,0,59.36,27.092,1.462,0.864,2.69,54,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
22,4/12/2021 10:18,0,0,59.36,27.092,1.328,0.864,2.82,54,0.2,0,0,0,31.4,31,31.2,31.4,30.9,1,1
